Index,native_label
0,INVALIDE
1,INVALIDE
2,INVALIDE
3,ERREUR_API
4,ERREUR_API
5,ERREUR_API
6,ERREUR_API
7,ERREUR_API
8,ERREUR_API
9,ERREUR_API
10,ERREUR_API
11,ERREUR_API
12,ERREUR_API
13,ERREUR_API
14,ERREUR_API
15,ERREUR_API
16,ERREUR_API
17,ERREUR_API
18,ERREUR_API
19,ERREUR_API
20,ERREUR_API
21,ERREUR_API
22,ERREUR_API
23,ERREUR_API
24,ERREUR_API
25,ERREUR_API
26,ERREUR_API
27,ERREUR_API
28,ERREUR_API
29,ERREUR_API
30,ERREUR_API
31,ERREUR_API
32,ERREUR_API
33,ERREUR_API
34,ERREUR_API
35,ERREUR_API
36,ERREUR_API
37,ERREUR_API
38,ERREUR_API
39,ERREUR_API
40,ERREUR_API
41,ERREUR_API
42,ERREUR_API
43,ERREUR_API
44,ERREUR_API
45,ERREUR_API
46,ERREUR_API
47,ERREUR_API
48,ERREUR_API
49,ERREUR_API
50,ERREUR_API
51,ERREUR_API
52,ERREUR_API
53,ERREUR_API
54,ERREUR_API
55,ERREUR_API
56,ERREUR_API
57,ERREUR_API
58,ERREUR_API
59,ERREUR_API
60,ERREUR_API
61,ERREUR_API
62,ERREUR_API
63,ERREUR_API
64,ERREUR_API
65,ERREUR_API
66,ERREUR_API
67,ERREUR_API
68,ERREUR_API
69,ERREUR_API
70,ERREUR_API
71,ERREUR_API
72,ERREUR_API
73,ERREUR_API
74,ERREUR_API
75,ERREUR_API
76,ERREUR_API
77,ERREUR_API
78,ERREUR_API
79,ERREUR_API
80,ERREUR_API
81,ERREUR_API
82,ERREUR_API
83,ERREUR_API
84,ERREUR_API
85,ERREUR_API
86,ERREUR_API
87,ERREUR_API
88,ERREUR_API
89,ERREUR_API
90,ERREUR_API
91,ERREUR_API
92,ERREUR_API
93,ERREUR_API
94,ERREUR_API
95,ERREUR_API
96,ERREUR_API
97,ERREUR_API
98,ERREUR_API
99,ERREUR_API
100,ERREUR_API
101,ERREUR_API
102,ERREUR_API
103,ERREUR_API
104,ERREUR_API
105,ERREUR_API
106,ERREUR_API
107,ERREUR_API
108,ERREUR_API
109,ERREUR_API
110,ERREUR_API
111,ERREUR_API
112,ERREUR_API
113,ERREUR_API
114,ERREUR_API
115,ERREUR_API
116,ERREUR_API
117,ERREUR_API
118,ERREUR_API
119,ERREUR_API
120,ERREUR_API
121,ERREUR_API
122,ERREUR_API
123,ERREUR_API
124,ERREUR_API
125,ERREUR_API
126,ERREUR_API
127,ERREUR_API
128,ERREUR_API
129,ERREUR_API
130,ERREUR_API
131,ERREUR_API
132,ERREUR_API
133,ERREUR_API
134,ERREUR_API
135,ERREUR_API
136,ERREUR_API
137,ERREUR_API
138,ERREUR_API
139,ERREUR_API
140,ERREUR_API
141,ERREUR_API
142,ERREUR_API
143,ERREUR_API
144,ERREUR_API
145,ERREUR_API
146,ERREUR_API
147,ERREUR_API
148,ERREUR_API
149,ERREUR_API
150,ERREUR_API
151,ERREUR_API
152,ERREUR_API
153,ERREUR_API
154,ERREUR_API
155,ERREUR_API
156,ERREUR_API
157,ERREUR_API
158,ERREUR_API
159,ERREUR_API
160,ERREUR_API
161,ERREUR_API
162,ERREUR_API
163,ERREUR_API
164,ERREUR_API
165,ERREUR_API
166,ERREUR_API
167,ERREUR_API
168,ERREUR_API
169,ERREUR_API
170,ERREUR_API
171,ERREUR_API
172,ERREUR_API
173,ERREUR_API
174,ERREUR_API
175,ERREUR_API
176,ERREUR_API
177,ERREUR_API
178,ERREUR_API
179,ERREUR_API
180,ERREUR_API
181,ERREUR_API
182,ERREUR_API
183,ERREUR_API
184,ERREUR_API
185,ERREUR_API
186,ERREUR_API
187,ERREUR_API
188,ERREUR_API
189,ERREUR_API
190,ERREUR_API
191,ERREUR_API
192,ERREUR_API
193,ERREUR_API
194,ERREUR_API
195,ERREUR_API
196,ERREUR_API
197,ERREUR_API
198,ERREUR_API
199,ERREUR_API
200,ERREUR_API
201,ERREUR_API
202,ERREUR_API
203,ERREUR_API
204,ERREUR_API
205,ERREUR_API
206,ERREUR_API
207,ERREUR_API
208,ERREUR_API
209,ERREUR_API
210,ERREUR_API
211,ERREUR_API
212,ERREUR_API
213,ERREUR_API
214,ERREUR_API
215,ERREUR_API
216,ERREUR_API
217,ERREUR_API
218,ERREUR_API
219,ERREUR_API
220,ERREUR_API
221,ERREUR_API
222,ERREUR_API
223,ERREUR_API
224,ERREUR_API
225,ERREUR_API
226,ERREUR_API
227,ERREUR_API
228,ERREUR_API
229,ERREUR_API
230,ERREUR_API
231,ERREUR_API
232,ERREUR_API
233,ERREUR_API
234,ERREUR_API
235,ERREUR_API
236,ERREUR_API
237,ERREUR_API
238,ERREUR_API
239,ERREUR_API
240,ERREUR_API
241,ERREUR_API
242,ERREUR_API
243,ERREUR_API
244,ERREUR_API
245,ERREUR_API
246,ERREUR_API
247,ERREUR_API
248,ERREUR_API
249,ERREUR_API
250,ERREUR_API
251,ERREUR_API
252,ERREUR_API
253,ERREUR_API
254,ERREUR_API
255,ERREUR_API
256,ERREUR_API
257,ERREUR_API
258,ERREUR_API
259,ERREUR_API
260,ERREUR_API
261,ERREUR_API
262,ERREUR_API
263,ERREUR_API
264,ERREUR_API
265,ERREUR_API
266,ERREUR_API
267,ERREUR_API
268,ERREUR_API
269,ERREUR_API
270,ERREUR_API
271,ERREUR_API
272,ERREUR_API
273,ERREUR_API
274,ERREUR_API
275,ERREUR_API
276,ERREUR_API
277,ERREUR_API
278,ERREUR_API
279,ERREUR_API
280,ERREUR_API
281,ERREUR_API
282,ERREUR_API
283,ERREUR_API
284,ERREUR_API
285,ERREUR_API
286,ERREUR_API
287,ERREUR_API
288,ERREUR_API
289,ERREUR_API
290,ERREUR_API
291,ERREUR_API
292,ERREUR_API
293,ERREUR_API
294,ERREUR_API
295,ERREUR_API
296,ERREUR_API
297,ERREUR_API
298,ERREUR_API
299,ERREUR_API
300,ERREUR_API
301,ERREUR_API
302,ERREUR_API
303,ERREUR_API
304,ERREUR_API
305,ERREUR_API
306,ERREUR_API
307,ERREUR_API
308,ERREUR_API
309,ERREUR_API
310,ERREUR_API
311,ERREUR_API
312,ERREUR_API
313,ERREUR_API
314,ERREUR_API
315,ERREUR_API
316,ERREUR_API
317,ERREUR_API
318,ERREUR_API
319,ERREUR_API
320,ERREUR_API
321,ERREUR_API
322,ERREUR_API
323,ERREUR_API
324,ERREUR_API
325,ERREUR_API
326,ERREUR_API
327,ERREUR_API
328,ERREUR_API
329,ERREUR_API
330,ERREUR_API
331,ERREUR_API
332,ERREUR_API
333,ERREUR_API
334,ERREUR_API
335,ERREUR_API
336,ERREUR_API
337,ERREUR_API
338,ERREUR_API
339,ERREUR_API
340,ERREUR_API
341,ERREUR_API
342,ERREUR_API
343,ERREUR_API
344,ERREUR_API
345,ERREUR_API
346,ERREUR_API
347,ERREUR_API
348,ERREUR_API
349,ERREUR_API
350,ERREUR_API
