Date,Ticker,Volume,StockChange,Target,Daily_Volatility
2023-01-03,AAPL,112117500,-0.0399907824170212,0,0.05165793514428981
2023-01-04,AAPL,89113600,-0.004176836487085,0,0.028213427758489954
2023-01-05,AAPL,80962700,-0.016597189144475,0,0.023676508863882836
2023-01-06,AAPL,87754700,0.0286484637707904,1,0.04285369260327783
2023-01-09,AAPL,70790800,-0.0024527272263714,0,0.0269794147277313
2023-01-10,AAPL,63896200,0.003608177802268,1,0.024105631214990236
2023-01-11,AAPL,69458900,0.0170667085193452,1,0.023238002232142837
2023-01-12,AAPL,71379600,-0.0035106155031479,0,0.021063579045265922
2023-01-13,AAPL,57809700,0.0206770866680272,1,0.024691316647555087
2023-01-17,AAPL,63646600,0.0082325936014033,1,0.023436834238716744
2023-01-18,AAPL,69672800,-0.0117672893156363,0,0.02616577722124563
2023-01-19,AAPL,58280400,0.0088753164167293,1,0.018496387930125126
2023-01-20,AAPL,80223600,0.0191454491518445,1,0.028089910452744397
2023-01-23,AAPL,81760300,0.0216478829920836,1,0.03924133810702646
2023-01-24,AAPL,66435100,0.0158221171643599,1,0.02038344138062735
2023-01-25,AAPL,65799300,0.0068848124416585,1,0.025693769131022306
2023-01-26,AAPL,54105100,0.005517975518793,1,0.016414096064613633
2023-01-27,AAPL,70555800,0.0193489029254965,1,0.02898850091034732
2023-01-30,AAPL,64015300,-0.0135210169915072,0,0.018625805899496427
2023-01-31,AAPL,65874500,0.0111422310574213,1,0.014435862667473725
2023-02-01,AAPL,77663600,0.010140942159471,1,0.036743719117035806
2023-02-02,AAPL,118339000,0.0128946508155612,1,0.020214873272113777
2023-02-03,AAPL,154357300,0.0437073652236495,1,0.06451397102283475
2023-02-06,AAPL,69858300,-0.005505745273346,0,0.015206182164549742
2023-02-07,AAPL,83322600,0.0266197193513231,1,0.030469970502443093
2023-02-08,AAPL,64120100,-0.0127372410428492,0,0.022160147867854883
2023-02-09,AAPL,56007100,-0.0189231609130505,0,0.025425957167036817
2023-02-10,AAPL,57450700,0.0103705855970963,1,0.014184363856253053
2023-02-13,AAPL,62199000,0.0192117205293339,1,0.0221265081511453
2023-02-14,AAPL,61707600,0.0070996704294048,1,0.019129659186930808
2023-02-15,AAPL,65573800,0.014499387445976,1,0.017111848388369436
2023-02-16,AAPL,68167900,0.00130292628616,1,0.019412388992081874
